email Count,x,y,latitude,longitude
241,3239.809429,1029.217091,48.91287832,2.240623333
240,3215.02186,1085.374696,48.91277294,2.241849446
169,3150.83552,1009.94597,48.91250007,2.240202579
254,3119.885176,1796.966215,48.91236849,2.257385926
510,3115.372202,1595.021557,48.9123493,2.252976782
170,3113.069564,1129.573407,48.91233951,2.242814455
72,3112.11792,1159.297579,48.91233547,2.243463436
71,3101.177002,1067.411488,48.91228895,2.241457248
253,3096.950932,1857.225622,48.91227099,2.258701595
508,3093.182938,1933.698978,48.91225497,2.26037127
537,3081.872296,1574.516395,48.91220688,2.252529085
255,3076.18385,1724.034687,48.9121827,2.255793581
67,3069.268398,1194.762513,48.9121533,2.244237757
509,3051.723048,1564.683174,48.91207871,2.252314392
70,3049.607851,1082.51308,48.91206972,2.241786967
74,3047.980297,1735.436277,48.9120628,2.256042517
73,3042.87821,1811.279364,48.91204111,2.257698431
251,3042.274267,1822.78525,48.91203854,2.257949644
68,3041.869662,1086.418603,48.91203682,2.241872238
171,3035.660145,1173.581748,48.91201042,2.243775308
252,3034.310137,1895.766292,48.91200468,2.25954307
538,3022.417716,1535.375674,48.91195413,2.251674509
172,3022.386239,1065.871807,48.91195399,2.241423631
77,3009.51681,1693.632701,48.91189928,2.255129801
176,2997.167564,1764.971252,48.91184678,2.256687366
78,2992.593945,1757.655009,48.91182734,2.256527628
69,2988.456203,1099.675887,48.91180975,2.24216169
173,2983.846841,1088.041289,48.91179015,2.241907667
175,2978.285393,1827.034254,48.91176651,2.258042414
249,2964.60437,1691.151904,48.91170835,2.255075637
192,2962.472353,818.0920305,48.91169928,2.23601375
75,2961.026368,1715.153091,48.91169314,2.255599665
507,2928.224772,1921.415179,48.91155369,2.260103073
76,2926.366416,1677.153051,48.91154579,2.254769994
539,2914.293481,1163.167811,48.91149446,2.243547936
511,2914.057094,1185.514131,48.91149346,2.244035833
250,2912.147501,1746.621932,48.91148534,2.256286738
512,2902.8756,1174.332637,48.91144592,2.243791703
256,2889.389289,1723.86372,48.91138859,2.255789848
600,2876.455932,1915.160963,48.9113336,2.259966522
177,2858.245825,1680.012962,48.91125619,2.254832436
326,2836.739952,585.7305454,48.91116476,2.230940504
604,2835.747607,1897.682133,48.91116054,2.259584899
341,2832.987952,1210.215989,48.91114881,2.244575159
536,2829.050115,1522.442938,48.91113207,2.251392143
603,2819.152552,1921.738695,48.91108999,2.260110136
601,2816.481743,1931.650529,48.91107864,2.260326546
325,2810.484103,642.6683468,48.91105314,2.232183651
504,2802.110906,1484.400785,48.91101754,2.250561552
602,2800.540856,1958.29705,48.91101087,2.26090833
327,2788.181442,597.8809157,48.91095832,2.231205788
