grid,fclass,name,longitude,latitude,fclass
"14,5",post_box, ,2.245383,48.890675,post_box
"15,9",post_box, ,2.247068,48.893653,post_box
"16,12",post_box, ,2.248468,48.89674,post_box
"17,10",post_box, ,2.250298,48.895139,post_box
"18,11",post_box, ,2.251264,48.895469,post_box
"3,0",post_box, ,2.2309,48.886313,post_box
"3,2",post_box, ,2.230325,48.88726,post_box
"3,3",post_box, ,2.231081,48.888926,post_box
"7,0",post_box, ,2.236152,48.88586,post_box
"8,12",post_box, ,2.236915,48.896625,post_box
"8,2",post_box, ,2.236965,48.887757,post_box
"9,2",portuguese restaurant,Katclara,2.238960564,48.88841608,portuguese restaurant
"11,6",police,Police nationale,2.242212,48.891299,police
"3,7",plaza,Terrasse Valmy,2.231720306,48.89280008,plaza
"17,1",plaza,Terrasse Bellini,2.251313152,48.88703513,plaza
"11,9",plaza,Square Henri Regnault,2.2424528,48.89426711,plaza
"13,4",plaza,Square des Corolles,2.245180607,48.89002486,plaza
"0,0",plaza,Rond-point des Bergères,2.227166891,48.88510073,plaza
"14,7",plaza,Place des Vosges,2.246882919,48.8928331,plaza
"18,3",plaza,Place des Saisons,2.252132893,48.88934059,plaza
"14,4",plaza,Place des Reflets,2.246964276,48.89015112,plaza
"16,4",plaza,Place des Miroirs,2.250390798,48.89037934,plaza
"18,1",plaza,Place des Dominos,2.252665992,48.88748317,plaza
"15,3",plaza,Place de l'Iris,2.248528944,48.8893621,plaza
"11,3",plaza,Place de la Pyramide,2.242817581,48.88933916,plaza
"11,5",plaza,Place de la Défense,2.242155075,48.89052571,plaza
"11,6",plaza,Place de la Coupole,2.242377698,48.89228499,plaza
"8,8",plaza,Place Carpeaux,2.238528728,48.89353072,plaza
"4,6",plaza,Cours Valmy,2.232284546,48.89217637,plaza
"14,2",plaza,Cours Michelet,2.247393429,48.8878764,plaza
"9,9",plaza,Allée de l'Arche,2.23929616,48.89485216,plaza
"0,3",playground, ,2.226983,48.888906,playground
"0,8",playground, ,2.226551,48.892908,playground
"0,8",playground, ,2.226515,48.89287,playground
"18,6",playground, ,2.252268,48.891122,playground
"2,2",playground, ,2.229228,48.887823,playground
"4,3",playground, ,2.231708,48.888188,playground
"6,2",playground, ,2.235205,48.887369,playground
"19,6",pizzeria,Venezia,2.25398764,48.8915662,pizzeria
"15,8",pizzeria,Trattoria Pizzeria d'Angelo,2.248456236,48.8935311,pizzeria
"7,11",pizzeria,Toast And Pizz,2.237168849,48.89641387,pizzeria
"13,11",pizzeria,San Marco,2.245379,48.896545,pizzeria
