grid,name,fclass,latitude,longitude,Venue Category
"7,7",IESEG School of Management,"['university', 'point_of_interest', 'establishment']",48.892573,2.235893,Education
"4,8",IÉSEG School of Management - Promenade de l'Arche,"['university', 'point_of_interest', 'establishment']",48.8933905,2.2324916,Education
"0,9",IIM - Institute of Internet and Multimedia,"['university', 'point_of_interest', 'establishment']",48.8935717,2.2269574,Education
"10,8",Nursing School,"['university', 'school', 'point_of_interest', 'establishment']",48.8931816,2.2396982,Education
"5,3",Collège Les Bouvets,"['university', 'secondary_school', 'school', 'point_of_interest', 'establishment']",48.8887615,2.2335981,Education
"4,7",Le Californien,american restaurant,48.89258365,2.232860659,Retail
"10,6",Carrousel Jules Vernes,amusementpark,48.89148045,2.241090238,Arts and Entertainment
"11,3", ,artwork,48.888468,2.242363,Arts and Entertainment
"12,3", ,artwork,48.888853,2.24264,Arts and Entertainment
"19,4", ,artwork,48.889106,2.253361,Arts and Entertainment
"5,7", ,artwork,48.892269,2.233893,Arts and Entertainment
"9,7", ,artwork,48.892268,2.239125,Arts and Entertainment
"16,3",Banc public,artwork,48.888295,2.249287,Arts and Entertainment
"9,7",cnit,artwork,48.891867,2.239468,Retail
"8,10",Colosse,artwork,48.894938,2.237843,Arts and Entertainment
"13,4",Fontaine Wallace,artwork,48.88993,2.244695,Landmarks and Outdoors
"1,10",Fresques,artwork,48.894936,2.227582,Arts and Entertainment
"8,10",Ikaria,artwork,48.895296,2.237,Arts and Entertainment
"15,5",La Terre,artwork,48.89006,2.246976,Arts and Entertainment
"5,7",La voiture sur le lampadaire,artwork,48.892438,2.233982,Arts and Entertainment
"9,3",Les Cheminées,artwork,48.888977,2.238731,Arts and Entertainment
"17,4",PA1112 gros orange sur les escaliers en bas de la tour Between les miroirs,artwork,48.889665,2.250198,Arts and Entertainment
"4,8",Scratching the surface,artwork,48.893384,2.231847,Arts and Entertainment
"15,5",Sculpture La Terre,artwork,48.890167,2.247069,Arts and Entertainment
"7,9",Slat,artwork,48.893696,2.23557,Arts and Entertainment
"5,8",Slinky,artwork,48.893085,2.23351,Arts and Entertainment
"10,7", ,atm,48.892554,2.240009,Community and Government
"16,11", ,atm,48.895463,2.24937,Community and Government
"19,11", ,atm,48.896096,2.252521,Community and Government
"19,7", ,atm,48.891996,2.253403,Community and Government
"3,4", ,atm,48.889286,2.231075,Community and Government
"1,4",Serpent,attraction,48.889302,2.22838,Landmarks and Outdoors
"4,0", ,bakery,48.886334,2.232576,Retail
"4,3", ,bakery,48.888769,2.231838,Retail
"7,7",Bonne Journée,bakery,48.892212,2.236772,Retail
"10,12",Boulangerie Faubourg de l'Arche,bakery,48.897099,2.239827,Retail
"3,4",Boulangerie Gazon,bakery,48.889496,2.230907,Retail
"10,11",Boulangerie Pâtisserie Tiznit,bakery,48.89647717,2.240545079,Retail
"10,12",Boulangerie Patisserie Traiteur,bakery,48.896481,2.240523,Retail
"6,5",Brioche Dorée,bakery,48.89098168,2.235785408,Retail
"6,12",La Joconde,bakery,48.896365,2.234749,Retail
"12,0",Les Fournils d'Antan,bakery,48.885696,2.242691,Retail
"14,0",Les Fromentiers,bakery,48.886221,2.245514,Retail
"15,2",Panam,bakery,48.887954,2.247091,Retail
"0,3",Poire de Pains,bakery,48.888154,2.22704,Retail
"6,5",Pret à Manger,bakery,48.8905024,2.2362235,Retail
"10,6",BNP Paribas,bank,48.891665,2.240721,Business and Professional Services
"16,12",BRED,bank,48.896815,2.248337,Business and Professional Services
"12,6",Caisse d'épargne,bank,48.890975,2.242729,Business and Professional Services
"11,6",CIC,bank,48.891151,2.242119,Business and Professional Services
"18,11",CIC Courbevoie Charras,bank,48.895462,2.251355,Business and Professional Services
"16,11",Crédit Agricole Courbevoie Charras,bank,48.895724,2.249028,Business and Professional Services
"16,11",Crédit Mutuel,bank,48.895472,2.249407,Business and Professional Services
"11,6",HSBC,bank,48.891482,2.24185,Business and Professional Services
"17,10",LCL,bank,48.895263,2.249661,Business and Professional Services
"10,5",Société Générale,bank,48.890364,2.240657,Business and Professional Services
"7,11",CIC Courbevoie Vinci,banking and finance,48.8969147,2.236889136,Business and Professional Services
"15,2",Duke Burger House,bar,48.88788146,2.247835867,Retail
"8,2",Le Forum,bar,48.88861027,2.239037007,Retail
"17,10",Le Garden Café,bar,48.89521654,2.251403332,Retail
"13,4",Le Mond,bar,48.89013773,2.24491775,Retail
"0,0",Le Montalegre,bar,48.8857,2.226769,Retail
"15,4",Le Nouveau Monde,bar,48.889333,2.248058,Retail
"5,1",Le Wilson,bar,48.88706702,2.233861462,Retail
"14,2",L'Italian Lounge at Sofitel Paris la Défense,bar,48.8884927,2.247458738,Retail
"17,2",Nodd Bar,bar,48.88802846,2.250850797,Retail
"19,12",Restaurant Le Timgad,bar,48.896709,2.252873,Retail
"16,12",Teddy Beer,bar,48.896827,2.248144,Retail
"7,1",Terrain de Basket Puteaux,basketball court,48.88704606,2.236645916,Landmarks and Outdoors
"16,10",Bulle de Soins,beauty_shop,48.894932,2.24923,Retail
"11,0",Espace Epilation,beauty_shop,48.88554,2.242482,Retail
"12,0",Institut Respire,beauty_shop,48.885525,2.242522,Retail
"11,0",La Griffe,beauty_shop,48.885478,2.242297,Retail
"15,12",Le Cocon d'Edwige,beauty_shop,48.896904,2.248082,Retail
"16,9",L'Onglerie,beauty_shop,48.893733,2.24877,Retail
"16,8",Matis,beauty_shop,48.893509,2.248248,Retail
"4,4",Naturel Beauty,beauty_shop,48.889144,2.231655,Retail
"8,5",Yves Rocher,beauty_shop,48.890825,2.238003,Retail
"15,10",La Caisse de Bières,beverages,48.895147,2.246865,Retail
"14,0",Nicolas,beverages,48.886079,2.245731,Retail
"6,8",Atelier Cyclofix,bicycle_shop,48.892724,2.234782,Retail
"15,9",Green Mobility,bicycle_shop,48.894122,2.247958,Retail
"19,12",Place Charles de Gaulle,bicyclerental,48.896611,2.252431,Travel and Transportation
"19,8",Bowling Charras,bowling alley,48.89409836,2.253300234,Arts and Entertainment
"8,12",Le Bistro d'Edouard,brasserie,48.8971921,2.238588933,Landmarks and Outdoors
"18,2",ibis Breakfast Room (Petit Déjeuner @ Hôtel ibis Paris La Défense Centre),breakfast spot,48.88830712,2.252460122,Retail
"18,2",Petit-déjeuner @ Fraser Suites,breakfast spot,48.888076,2.252474,Retail
"16,4",Passerelle d'Alsace,bridge,48.890161,2.249223,Landmarks and Outdoors
"15,1",Passerelle de l'Orme,bridge,48.88705316,2.248849869,Landmarks and Outdoors
"14,1",Passerelle des Vignes,bridge,48.88733287,2.247093022,Landmarks and Outdoors
"17,5",Passerelle Louis Blanc,bridge,48.89060334,2.251019776,Landmarks and Outdoors
"14,12",85 Ozo Maison Burger,burger joint,48.89774165,2.247355878,Retail
"0,10",Aréna Café,burger joint,48.89539805,2.226179922,Retail
"7,10",Day's Café,burger joint,48.89559794,2.237275332,Retail
"8,10",Quinte & Sens,burger joint,48.89503756,2.238928378,Retail
"8,5",Pepperico,burrito restaurant,48.890714,2.238587,Retail
"3,4",Boucherie Besnard,butcher,48.889561,2.230844,Retail
"12,0",Boucherie République,butcher,48.885916,2.242737,Retail
"17,11",La Ferme de Courbevoie,butcher,48.89561,2.250347,Retail
"2,5",Café Chassagne,cafe,48.89135666,2.230053611,Retail
"12,0",Caffe Chic,cafe,48.885069,2.244332,Retail
"18,2",Coutume,cafe,48.887834,2.251017,Retail
"6,10",La Caféteria,cafe,48.89617166,2.236256092,Retail
"7,12",Le Vinci,cafe,48.896635,2.235904,Retail
"15,3",Starbucks,cafe,48.888461,2.247601,Retail
"1,10",Toyota,car_dealership,48.895336,2.228396,Landmarks and Outdoors
"16,9",Agence Sixt,car_rental,48.893749,2.248898,Travel and Transportation
"14,7",Autolib',car_rental,48.892324,2.245368,Travel and Transportation
"0,0",Rent a Car,car_rental,48.885539,2.226407,Travel and Transportation
"15,6",Total Wash,car_wash,48.89127,2.247798,Community and Government
"1,6",Secret casino,casino,48.89191182,2.227889569,Arts and Entertainment
"18,4",Dynasty 168,chinese restaurant,48.89026823,2.252025604,Retail
"6,6",UGC Ciné Cité La Défense,cinema,48.891095,2.23532,Arts and Entertainment
"16,11",Comptoir des Parisiennes,clothes,48.896156,2.248685,Retail
"14,8",Jann's,clothes,48.893215,2.246015,Retail
"16,12",Katia,clothes,48.896446,2.248451,Retail
"15,12",Urban Mood,clothes,48.896944,2.24805,Retail
"9,7",Décathlon,clothing store,48.89259961,2.239547968,Retail
"8,4",H&M,clothing store,48.89049293,2.238676035,Retail
"7,5",Michael Kors,clothing store,48.89127134,2.237004775,Retail
