zoom Count,x,y,longitude,latitude,real longitude,real latitude
302,725.2114604,1007.671011,48.90218807,2.240152909,48.88670402,2.243390213
299,649.1453755,1001.770108,48.9018647,2.240024072,48.88637411,2.243485494
276,2382.044074,996.6210002,48.90923172,2.239911649,48.89389005,2.243568637
160,1117.649885,994.3142198,48.90385644,2.239861284,48.88840611,2.243605884
55,1945.066011,992.2228102,48.90737401,2.239815622,48.89199479,2.243639653
480,593.1400279,984.3616475,48.9016266,2.239643986,48.8861312,2.243766587
476,888.1851847,982.5403811,48.90288092,2.239604221,48.88741087,2.243795995
316,2408.917609,982.0093674,48.90934597,2.239592627,48.89400661,2.24380457
275,2399.746784,965.6412587,48.90930698,2.239235255,48.89396683,2.244068864
396,1101.950213,957.7937319,48.90378969,2.239063917,48.88833801,2.244195578
343,2444.977588,955.0178343,48.90949927,2.23900331,48.89416301,2.2442404
344,2356.148866,943.914244,48.90912164,2.23876088,48.89377775,2.244419689
481,727.9137415,942.4725203,48.90219956,2.238729402,48.88671574,2.244442968
304,703.0830736,939.8106249,48.902094,2.238671284,48.88660804,2.24448595
399,2232.805391,937.6620335,48.90859727,2.238624373,48.89324278,2.244520643
478,673.2757495,937.0087211,48.90196728,2.238610109,48.88647876,2.244531192
279,2216.818786,934.6615172,48.9085293,2.238558861,48.89317343,2.244569092
477,831.7259263,924.2598563,48.9026409,2.238331758,48.887166,2.244737046
101,2075.282765,920.3590885,48.9079276,2.23824659,48.89255957,2.244800033
392,1182.451242,918.9311658,48.90413192,2.238215414,48.88868716,2.244823089
2,2147.234031,918.1106115,48.90823348,2.238197499,48.89287163,2.244836338
135,1315.670708,917.0319621,48.90469828,2.238173948,48.88926497,2.244853755
400,2253.11925,913.7633758,48.90868363,2.238102583,48.89333088,2.244906533
314,1789.687033,912.8012442,48.90671345,2.238081577,48.89132087,2.244922068
425,1621.256649,908.3742285,48.90599741,2.23798492,48.89059036,2.244993551
31,2381.075642,904.6197492,48.90922761,2.237902947,48.89388586,2.245054174
469,619.0829487,904.2084417,48.90173689,2.237893967,48.88624371,2.245060815
278,2191.739948,902.20655,48.90842269,2.237850258,48.89306467,2.24509314
397,1673.576801,901.814047,48.90621983,2.237841689,48.89081728,2.245099477
1,2207.942911,900.1227952,48.90849157,2.237804763,48.89313494,2.245126786
