OBJECTID,osm_id,code,fclass,name,longitude,latitude,grid
882,102905728,7202,park, ,2.251321,48.8962152,"18,11"
883,102905728,7202,park, ,2.2514984,48.8962183,"18,11"
884,102905728,7202,park, ,2.2509601,48.8959505,"18,11"
885,102905728,7202,park, ,2.2505903,48.8957306,"17,11"
886,102905728,7202,park, ,2.2504002,48.8958489,"17,11"
887,102905728,7202,park, ,2.2503981,48.8958497,"17,11"
888,102905728,7202,park, ,2.2503959,48.8958503,"17,11"
889,102905728,7202,park, ,2.2503934,48.8958504,"17,11"
890,102905728,7202,park, ,2.2503909,48.8958504,"17,11"
891,102905728,7202,park, ,2.2503887,48.8958501,"17,11"
892,102905728,7202,park, ,2.2503866,48.8958495,"17,11"
893,102905728,7202,park, ,2.2503841,48.8958485,"17,11"
894,102905728,7202,park, ,2.2501204,48.8956641,"17,11"
