,id,datetime,year,month,day_of_month,day_of_week,hour,minute,second,text,user_id,name,screen_name,follower_count,status_count,lang,lat,lng
102,1.49E+18,2022/1/27 16:07,2022,1,27,3,16,7,1,"@diamondplatnumz 馃 SIMBA ALIYEBAKIA ...鉂わ笍馃�?

#wilonderby #wilonderbyhimself馃實 #DiamondPlatnumz @ Diamond-platnumz fan�?https://t.co/aXxjNqs1MX",1.19E+18,WILLY PLATNUMZ 馃馃拵馃憫鈽嗏槅鈽?WilonDerby,53,866,,,48.85718,2.34141
70,1.49E+18,2022/1/27 12:34,2022,1,27,3,12,34,47,Vient de publier une photo �?Caves Legrand https://t.co/T0r2z7m0Cv,2807795802,Emmanuelle Vigne,VigneEmmanuelle,693,1559,,48.86626,2.33993
9,1.49E+18,2022/1/26 16:46,2022,1,26,2,16,46,14,"@dussica.paris Montmartre
#LameDeStyleTiffany #Lampe #StyleTiffany 
#TiffanyStyle #Lamp #Suspension 
#ArtDeco�?https://t.co/VTLEXYFtyb",7.57E+17,Dussica Paris,Dussica_Paris,8,81,,48.88471,2.33972
115,1.49E+18,2022/1/27 16:42,2022,1,27,3,16,42,37,"@dussica.paris Montmartre
#LameDeStyleTiffany #Lampe #StyleTiffany 
#TiffanyStyle #Lamp #Suspension 
#ArtDeco�?https://t.co/4WeSrAoYdg",7.57E+17,Dussica Paris,Dussica_Paris,8,82,,48.88471,2.33972
61,1.49E+18,2022/1/26 23:58,2022,1,26,2,23,58,58,"Mosaic floor, Opéra Comique (Salle Favart, built 1840 by Théodore Charpentier), Paris. @ Opéra Comique - Page offic�?https://t.co/KWZhgPN6ll",15741261,Anne-Elisabeth Moutet,moutet,17086,177702,,48.870951,2.337853
120,1.49E+18,2022/1/27 17:03,2022,1,27,3,17,3,19,"Hat gerade ein Foto gepostet @ Paris, France https://t.co/NEuNMThhFs",1.42E+18,byAshrafB Photography,byashrafb,8,28,,48.849445,2.3375
76,1.49E+18,2022/1/27 13:14,2022,1,27,3,13,14,3,Plaisir d鈥檃voir re莽u au S茅nat les d茅l茅gu茅s de classes du coll猫ge Clos St Vincent �?Noisy le Grand �?Palais du Luxem�?https://t.co/mklq9PZvB8,131550749,Gilbert ROGER,GilbertROGER_93,2804,6490,,48.848333,2.337222
134,1.49E+18,2022/1/27 19:00,2022,1,27,3,19,0,11,Bienvenue au Mus茅e du Louvre 馃柤锔忊潳锔忦煄煐岋笍馃嚝馃嚪馃嚜馃嚭 #louvre #france #paris #arte #pintura #museu #moderno #historico #viver�?https://t.co/UduCkJCxT1,59260923,Douglas Sena,DouglasBSSena,39,1587,,48.861762,2.337079
142,1.49E+18,2022/1/27 19:27,2022,1,27,3,19,27,18,"Un matin �?Paris 鉁▇
~
~
~
~
~
#paris #louvre #pyramidedulouvre #parisienne #photographer #photography #instagood�?https://t.co/X4FNvjuCQG",593998339,Capucine�?YouthBurzek,17245,454064,,,48.861086,2.335753
53,1.49E+18,2022/1/26 21:09,2022,1,26,2,21,9,47,#louvremuseum #pyramidlouvre #parisfrance #cristalpyramide #parisstyle #lugaresconencanto #culture #intagramphoto e�?https://t.co/6lmmkSSOPJ,72581885,Victor Casanova,v_casanova86,102,6092,,48.861089,2.33575
50,1.49E+18,2022/1/26 20:56,2022,1,26,2,20,56,37,"Reposted �?@premierhairandmakeup 
.
❤️ Hair by @sammcknight1 for @alexandrevauthier Spring Haute Couture show in Pa�?https://t.co/tA2xLOYqbV",29292567,Joanne O'Neill Hair,oneilljoanne,426,5128,,48.885588,2.335537
55,1.49E+18,2022/1/26 21:14,2022,1,26,2,21,14,1,Olsun..! Olsun mu? @ Paris https://t.co/tL95pY88MW,73427877,Ilhan Uckan,ilhanuckan,2106,11955,,48.885588,2.335537
114,1.49E+18,2022/1/27 16:34,2022,1,27,3,16,34,7,"Une vue de la Seine immortalis茅e ce matin pe'da't mon jogging....

I鉂わ笍Paris �?Paris https://t.co/MciXuYmyLj",4187493119,Manu A,manuparis17,1153,5061,,48.885588,2.335537
131,1.49E+18,2022/1/27 18:54,2022,1,27,3,18,54,17,Vient de publier une photo �?Paris https://t.co/1i0pCIXyUr,1322218022,Maram Al Masri,maramelmasri,1034,3145,,48.885588,2.335537
39,1.49E+18,2022/1/26 19:45,2022,1,26,2,19,45,43,Vient de publier une photo à Saint Sulpice https://t.co/1YJE2QP4WC,148721474,Laurent Grzybowski,lgrzybowski,4744,3390,,48.85042,2.33335
