grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"9,10",2.23909705,48.89526035,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"13,10",2.24474465,48.89526035,Community and Government,Education,Arts and Entertainment,Business and Professional Services,Health and Medicine,Landmarks and Outdoors,3
"14,10",2.24615655,48.89526035,Community and Government,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,Landmarks and Outdoors,3
"15,10",2.24756845,48.89526035,Education,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,4
"16,10",2.24898035,48.89526035,Retail,Community and Government,Health and Medicine,Arts and Entertainment,Business and Professional Services,Education,1
"17,10",2.25039225,48.89526035,Arts and Entertainment,Business and Professional Services,Community and Government,Retail,Education,Health and Medicine,1
"18,10",2.25180415,48.89526035,Health and Medicine,Arts and Entertainment,Education,Retail,Business and Professional Services,Community and Government,1
"19,10",2.25321605,48.89526035,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,1
"0,11",2.22638995,48.89619581,Retail,Business and Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,2
"1,11",2.22780185,48.89619581,Education,Health and Medicine,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,1
"3,11",2.23062565,48.89619581,Community and Government,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,Landmarks and Outdoors,3
"6,11",2.23486135,48.89619581,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"7,11",2.23627325,48.89619581,Education,Business and Professional Services,Arts and Entertainment,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"8,11",2.23768515,48.89619581,Community and Government,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,3
"9,11",2.23909705,48.89619581,Business and Professional Services,Travel and Transportation,Arts and Entertainment,Community and Government,Education,Health and Medicine,5
"10,11",2.24050895,48.89619581,Health and Medicine,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,1
"12,11",2.24333275,48.89619581,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"13,11",2.24474465,48.89619581,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"16,11",2.24898035,48.89619581,Retail,Business and Professional Services,Health and Medicine,Community and Government,Landmarks and Outdoors,Arts and Entertainment,1
"17,11",2.25039225,48.89619581,Retail,Health and Medicine,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,1
"18,11",2.25180415,48.89619581,Business and Professional Services,Retail,Community and Government,Arts and Entertainment,Education,Health and Medicine,1
"19,11",2.25321605,48.89619581,Retail,Community and Government,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,2
"6,12",2.23486135,48.89713127,Retail,Business and Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,2
"7,12",2.23627325,48.89713127,Health and Medicine,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,1
"8,12",2.23768515,48.89713127,Health and Medicine,Retail,Community and Government,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,1
"9,12",2.23909705,48.89713127,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,1
"10,12",2.24050895,48.89713127,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"11,12",2.24192085,48.89713127,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"12,12",2.24333275,48.89713127,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"14,12",2.24615655,48.89713127,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"15,12",2.24756845,48.89713127,Retail,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,2
"16,12",2.24898035,48.89713127,Retail,Business and Professional Services,Community and Government,Health and Medicine,Arts and Entertainment,Education,2
"17,12",2.25039225,48.89713127,Retail,Health and Medicine,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,1
"19,12",2.25321605,48.89713127,Retail,Business and Professional Services,Travel and Transportation,Arts and Entertainment,Community and Government,Education,1
