grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"5,10",2.23344945,48.89526035,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,3
"7,10",2.23627325,48.89526035,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"8,10",2.23768515,48.89526035,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"9,10",2.23909705,48.89526035,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"10,10",2.24050895,48.89526035,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"11,10",2.24192085,48.89526035,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"16,10",2.24898035,48.89526035,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"17,10",2.25039225,48.89526035,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"18,10",2.25180415,48.89526035,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"0,11",2.22638995,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"1,11",2.22780185,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"2,11",2.22921375,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"3,11",2.23062565,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"4,11",2.23203755,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"7,11",2.23627325,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"8,11",2.23768515,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"10,11",2.24050895,48.89619581,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"11,11",2.24192085,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"12,11",2.24333275,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"18,11",2.25180415,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"19,11",2.25321605,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"0,12",2.22638995,48.89713127,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"2,12",2.22921375,48.89713127,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"3,12",2.23062565,48.89713127,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"4,12",2.23203755,48.89713127,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,3
"8,12",2.23768515,48.89713127,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"15,12",2.24756845,48.89713127,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
