FID,osm_id,code,fclass,name,longitude,latitude,grid
356,1924155156,2907,camera_surveillance, ,2.238539,48.895063,"9,10"
316,1891366478,2907,camera_surveillance, ,2.238987,48.895472,"9,11"
318,1906679378,2907,camera_surveillance, ,2.23905,48.895543,"9,11"
344,1923568280,2907,camera_surveillance, ,2.239372,48.896054,"9,11"
345,1923568281,2907,camera_surveillance, ,2.239364,48.896065,"9,11"
346,1923568282,2907,camera_surveillance, ,2.239158,48.895546,"9,11"
347,1923568283,2907,camera_surveillance, ,2.239299,48.895402,"9,11"
357,1924155914,2907,camera_surveillance, ,2.239058,48.89588,"9,11"
395,1932117249,2907,camera_surveillance, ,2.239267,48.896181,"9,11"
585,2001233184,2907,camera_surveillance, ,2.238792,48.896226,"9,11"
