OBJECTID,osm_id,code,fclass,name,type,levels,ORIG_FID,X,Y,grid
227,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238228899744001,48.88818010013159,"8,3"
228,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238129000353126,48.888039500122886,"8,2"
229,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.23811759964758,48.88802339956026,"8,2"
230,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238092200095025,48.88798770007236,"8,2"
231,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237912100063397,48.88804300028431,"8,2"
232,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237855899630119,48.888060299643136,"8,2"
233,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237718500308574,48.888102500330206,"8,2"
234,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237691999985884,48.88811070034859,"8,2"
235,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237488899792936,48.88817309980874,"8,3"
236,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237464399562441,48.888180600154605,"8,3"
237,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237367199936386,48.888210499914685,"8,3"
238,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237303500056555,48.88823009973936,"8,3"
239,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237117899771306,48.88828709966998,"8,3"
240,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237321499987274,48.88831989974364,"8,3"
241,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237369100203864,48.8883052003248,"8,3"
242,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237417999940817,48.88829009980833,"8,3"
243,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237736400414576,48.88819180031141,"8,3"
244,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237775100040892,48.88817989958278,"8,3"
245,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.23790669963455,48.88813929968899,"8,3"
246,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237956100293843,48.88812400042235,"8,2"
247,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237997399860149,48.88811130019639,"8,2"
248,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238011500330515,48.88813109967055,"8,2"
249,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238004900206022,48.8881330997628,"8,2"
250,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238321900435381,48.888577099553565,"9,3"
251,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238331899997263,48.88857399959045,"9,3"
252,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238348600407619,48.88859739995013,"9,3"
253,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238303899605342,48.88861120004691,"9,3"
254,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.238254499845311,48.888626400388155,"8,3"
255,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237897899768313,48.8887364998896,"8,3"
256,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237867199611628,48.88874600032773,"8,3"
257,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237765800151578,48.88877730033221,"8,3"
258,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237716799690588,48.88879239994935,"8,3"
259,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237671999962856,48.888806200046126,"8,3"
260,405756,1500,building,Résidence La Défense,apartments,9.0,9,2.237658000216584,48.888786600221465,"8,3"
