OBJECTID,osm_id,code,fclass,name,ORIG_FID,X,Y,grid
5009,637247375,7218,grass, ,245,2.235617899846261,48.89391379978207,"7,9"
5010,637247375,7218,grass, ,245,2.235552100049404,48.893884700418646,"7,9"
5011,637247375,7218,grass, ,245,2.235372400216136,48.893794000193,"6,9"
5012,637247375,7218,grass, ,245,2.235389199551946,48.89382430015137,"6,9"
5013,637247375,7218,grass, ,245,2.235393900308281,48.893848599833056,"6,9"
5014,637247375,7218,grass, ,245,2.235396000225251,48.89387329971305,"6,9"
5015,637247375,7218,grass, ,245,2.235395199828645,48.89390020023409,"6,9"
5016,637247375,7218,grass, ,245,2.235389900123835,48.893923499869686,"6,9"
5017,637247375,7218,grass, ,245,2.235381200082372,48.89394249984656,"6,9"
5018,637247375,7218,grass, ,245,2.235367800183894,48.89396409976342,"6,9"
5019,637247375,7218,grass, ,245,2.235346300091749,48.89398480035828,"6,9"
5020,637247375,7218,grass, ,245,2.235309400008873,48.894011699980005,"6,9"
5021,637247375,7218,grass, ,245,2.235253699598616,48.89405320009519,"6,9"
5022,637247375,7218,grass, ,245,2.235125000318533,48.89414789960591,"6,9"
5023,637247375,7218,grass, ,245,2.234942599821181,48.89429959994664,"6,9"
5024,637247375,7218,grass, ,245,2.234862800278052,48.89437540020464,"6,9"
5025,637247375,7218,grass, ,245,2.234750799609742,48.89451209985356,"6,10"
5026,637247375,7218,grass, ,245,2.234597000251426,48.89471260010646,"6,10"
5027,637247375,7218,grass, ,245,2.234592300394411,48.89472370043848,"6,10"
5028,637247375,7218,grass, ,245,2.234587499813301,48.89476299991259,"6,10"
5029,637247376,7218,grass, ,246,2.234786300347537,48.893467700074325,"6,8"
5030,637247376,7218,grass, ,246,2.23482330025513,48.89349280015267,"6,8"
5031,637247376,7218,grass, ,246,2.234943199668976,48.8935625003092,"6,9"
5032,637247376,7218,grass, ,246,2.235094099613036,48.89364789993067,"6,9"
5033,637247376,7218,grass, ,246,2.235285299976681,48.893752900276176,"6,9"
5034,637247376,7218,grass, ,246,2.235306700244053,48.89374270016555,"6,9"
5035,637247376,7218,grass, ,246,2.235301399639923,48.893734400322394,"6,9"
5036,637247376,7218,grass, ,246,2.235297299630702,48.89372029985201,"6,9"
5037,637247376,7218,grass, ,246,2.235294000018143,48.89370659957996,"6,9"
5038,637247376,7218,grass, ,246,2.235263799884478,48.89361979971403,"6,9"
5039,637247376,7218,grass, ,246,2.235251700405684,48.89359910001849,"6,9"
5040,637247376,7218,grass, ,246,2.235237000087523,48.89358410022612,"6,9"
5041,637247376,7218,grass, ,246,2.235214199575694,48.89356599957125,"6,9"
5042,637247376,7218,grass, ,246,2.235188700198421,48.893551399977184,"6,9"
5043,637247376,7218,grass, ,246,2.235159900309213,48.89353909994958,"6,9"
5044,637247376,7218,grass, ,246,2.235136400124816,48.89353290002338,"6,8"
5045,637247376,7218,grass, ,246,2.235112300092624,48.89352899966366,"6,8"
5046,637247376,7218,grass, ,246,2.234893299885925,48.893499599926656,"6,8"
5047,637247376,7218,grass, ,246,2.234866199715384,48.89349630031404,"6,8"
5048,637247376,7218,grass, ,246,2.234844699623238,48.89349209958078,"6,8"
5049,637247376,7218,grass, ,246,2.234825900195176,48.89348660022648,"6,8"
5050,637247376,7218,grass, ,246,2.234809199784763,48.89347979955318,"6,8"
5051,637247376,7218,grass, ,246,2.234786300347537,48.893467700074325,"6,8"
5052,637258632,7217,scrub, ,247,2.235241000271969,48.894539100199374,"6,10"
5053,637258632,7217,scrub, ,247,2.235246700175139,48.89454210033773,"6,10"
5054,637258632,7217,scrub, ,247,2.235241299746235,48.894546800194746,"6,10"
5055,637258632,7217,scrub, ,247,2.235386200312917,48.894620700185214,"6,10"
5056,637258632,7217,scrub, ,247,2.235395699851722,48.894625800240526,"6,10"
5057,637258632,7217,scrub, ,247,2.235400899731758,48.89462130003301,"6,10"
5058,637258632,7217,scrub, ,247,2.235406800183739,48.89462430017136,"6,10"
5059,637258632,7217,scrub, ,247,2.235377199897926,48.89465019974699,"6,10"
5060,637258632,7217,scrub, ,247,2.235453400354174,48.894689000097344,"6,10"
5061,637258632,7217,scrub, ,247,2.235485099657694,48.8946624997746,"7,10"
5062,637258632,7217,scrub, ,247,2.23539369975947,48.894615600129896,"6,10"
5063,637258632,7217,scrub, ,247,2.235402700174518,48.894607999959305,"6,10"
5064,637258632,7217,scrub, ,247,2.235551299652798,48.89468430024033,"7,10"
5065,637258632,7217,scrub, ,247,2.23557539968499,48.89466259959937,"7,10"
5066,637258632,7217,scrub, ,247,2.235427800252808,48.89458680024069,"6,10"
5067,637258632,7217,scrub, ,247,2.235312099773637,48.89453059980741,"6,10"
5068,637258632,7217,scrub, ,247,2.235347599612055,48.89449180035638,"6,10"
5069,637258632,7217,scrub, ,247,2.235484399985126,48.89454780024085,"7,10"
5070,637258632,7217,scrub, ,247,2.235509900261718,48.8945212999181,"7,10"
5071,637258632,7217,scrub, ,247,2.23553260004951,48.894492400204165,"7,10"
5072,637258632,7217,scrub, ,247,2.235520100372355,48.89448830019495,"7,10"
5073,637258632,7217,scrub, ,247,2.235523599634462,48.894483600337935,"7,10"
5074,637258632,7217,scrub, ,247,2.235504099634511,48.894476699839856,"7,10"
5075,637258632,7217,scrub, ,247,2.235358100096278,48.894425800010715,"6,9"
5076,637258632,7217,scrub, ,247,2.235353300414545,48.894432499959976,"6,9"
5077,637258632,7217,scrub, ,247,2.235345399870369,48.89442999984465,"6,9"
5078,637258632,7217,scrub, ,247,2.235316799630652,48.89446930021808,"6,10"
5079,637258632,7217,scrub, ,247,2.235306899893544,48.89448060019959,"6,10"
5080,637258632,7217,scrub, ,247,2.23530100034094,48.89448739997357,"6,10"
5081,637258632,7217,scrub, ,247,2.235282899686126,48.89450410038398,"6,10"
5082,637258632,7217,scrub, ,247,2.235241000271969,48.894539100199374,"6,10"
5083,637258633,7217,scrub, ,248,2.235623999947677,48.89472159962219,"7,10"
5084,637258633,7217,scrub, ,248,2.235754399845746,48.89478860001395,"7,10"
5085,637258633,7217,scrub, ,248,2.235745400330018,48.89479610035977,"7,10"
5086,637258633,7217,scrub, ,248,2.235676499670774,48.894760700346126,"7,10"
5087,637258633,7217,scrub, ,248,2.235646400261203,48.89478709994478,"7,10"
5088,637258633,7217,scrub, ,248,2.235714499624521,48.89482169956182,"7,10"
