grid,gird Longitude,grid Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"19,3",48.88871212,2.25321605,ibis Breakfast Room (Petit Déjeuner @ Hôtel ibis Paris La Défense Centre),48.88830712,2.252460122,Breakfast Spot
"19,3",48.88871212,2.25321605,Restaurant de l'Hôtel Novotel Paris la Défense,48.888035,2.253011,Modern European Restaurant
"19,3",48.88871212,2.25321605,Place des Saisons,48.88934059,2.252132893,Plaza
"19,3",48.88871212,2.25321605,Petit-déjeuner @ Fraser Suites,48.888076,2.252474,Breakfast Spot
"19,3",48.88871212,2.25321605,Bistro d'Édouard,48.88956618,2.252402045,French Restaurant
"0,4",48.88964758,2.22638995,Mayanne Evenementiel,48.8904719,2.22770034,Miscellaneous Store
"1,4",48.88964758,2.22780185,Mayanne Evenementiel,48.8904719,2.22770034,Miscellaneous Store
"3,4",48.88964758,2.23062565,Aux Delices de Puteaux,48.8891323,2.231247872,Moroccan Restaurant
"3,4",48.88964758,2.23062565,Al Siwan,48.88887853,2.231777608,Lebanese Restaurant
"4,4",48.88964758,2.23203755,Aux Delices de Puteaux,48.8891323,2.231247872,Moroccan Restaurant
"4,4",48.88964758,2.23203755,Al Siwan,48.88887853,2.231777608,Lebanese Restaurant
"6,4",48.88964758,2.23486135,Le Ferney,48.8898544,2.23561228,French Restaurant
"7,4",48.88964758,2.23627325,Le Ferney,48.8898544,2.23561228,French Restaurant
"8,4",48.88964758,2.23768515,H&M,48.89049293,2.238676035,Clothing Store
"9,4",48.88964758,2.23909705,Pull&Bear,48.89027771,2.240371406,Clothing Store
"9,4",48.88964758,2.23909705,H&M,48.89049293,2.238676035,Clothing Store
"10,4",48.88964758,2.24050895,Pull&Bear,48.89027771,2.240371406,Clothing Store
"11,4",48.88964758,2.24192085,Place de la Pyramide,48.88933916,2.242817581,Plaza
"11,4",48.88964758,2.24192085,Fontaine Agam,48.8903811,2.24270761,Fountain
"12,4",48.88964758,2.24333275,Place de la Pyramide,48.88933916,2.242817581,Plaza
"12,4",48.88964758,2.24333275,IT Trattoria,48.889989,2.243485,Italian Restaurant
"12,4",48.88964758,2.24333275,EXKi,48.88932436,2.243983001,Sandwich Restaurant
"12,4",48.88964758,2.24333275,Fontaine Agam,48.8903811,2.24270761,Fountain
"13,4",48.88964758,2.24474465,Square des Corolles,48.89002486,2.245180607,Plaza
"13,4",48.88964758,2.24474465,Le Mond,48.89013773,2.24491775,Bar
"13,4",48.88964758,2.24474465,Le Mond,48.89013773,2.24491775,French Restaurant
"13,4",48.88964758,2.24474465,EXKi,48.88932436,2.243983001,Sandwich Restaurant
"13,4",48.88964758,2.24474465,IT Trattoria,48.889989,2.243485,Italian Restaurant
"14,4",48.88964758,2.24615655,Square des Corolles,48.89002486,2.245180607,Plaza
"14,4",48.88964758,2.24615655,Place des Reflets,48.89015112,2.246964276,Plaza
"14,4",48.88964758,2.24615655,El Karim,48.88981711,2.247172642,Fast Food Restaurant
"14,4",48.88964758,2.24615655,El Karim,48.88981711,2.247172642,Moroccan Restaurant
"14,4",48.88964758,2.24615655,Le Mond,48.89013773,2.24491775,Bar
"14,4",48.88964758,2.24615655,Le Mond,48.89013773,2.24491775,French Restaurant
"15,4",48.88964758,2.24756845,Pause,48.8896945,2.247621989,Fast Food Restaurant
"15,4",48.88964758,2.24756845,Pause,48.8896945,2.247621989,Salad Restaurant
"15,4",48.88964758,2.24756845,El Karim,48.88981711,2.247172642,Fast Food Restaurant
"15,4",48.88964758,2.24756845,El Karim,48.88981711,2.247172642,Moroccan Restaurant
"15,4",48.88964758,2.24756845,Place des Reflets,48.89015112,2.246964276,Plaza
"15,4",48.88964758,2.24756845,Place de l'Iris,48.8893621,2.248528944,Plaza
"15,4",48.88964758,2.24756845,Le Moretti,48.88905577,2.247850746,Public Art
"15,4",48.88964758,2.24756845,Le Ballon d'Alsace,48.89043331,2.24662081,Brasserie
"16,4",48.88964758,2.24898035,Place de l'Iris,48.8893621,2.248528944,Plaza
"16,4",48.88964758,2.24898035,Passerelle d'Alsace,48.890161,2.249223,Bridge
"16,4",48.88964758,2.24898035,Franck Provost (Franck Provost - Coiffeur Courbevoie),48.889706,2.249867,Hair Salon
"16,4",48.88964758,2.24898035,Le Moretti,48.88905577,2.247850746,Public Art
"16,4",48.88964758,2.24898035,Place des Miroirs,48.89037934,2.250390798,Plaza
"17,4",48.88964758,2.25039225,Place des Miroirs,48.89037934,2.250390798,Plaza
"17,4",48.88964758,2.25039225,Passerelle d'Alsace,48.890161,2.249223,Bridge
"17,4",48.88964758,2.25039225,Starbucks,48.88878748,2.251585722,Coffee Shop
"18,4",48.88964758,2.25180415,Place des Saisons,48.88934059,2.252132893,Plaza
"18,4",48.88964758,2.25180415,Le Chill' Sandwich & Coffee,48.88965749,2.252399772,Coffee Shop
"18,4",48.88964758,2.25180415,Le Chill' Sandwich & Coffee,48.88965749,2.252399772,Restaurant
"18,4",48.88964758,2.25180415,Bistro d'Édouard,48.88956618,2.252402045,French Restaurant
"18,4",48.88964758,2.25180415,Dynasty 168,48.89026823,2.252025604,Chinese Restaurant
"18,4",48.88964758,2.25180415,Starbucks,48.88878748,2.251585722,Coffee Shop
"19,4",48.88964758,2.25321605,Le Chill' Sandwich & Coffee,48.88965749,2.252399772,Coffee Shop
"19,4",48.88964758,2.25321605,Le Chill' Sandwich & Coffee,48.88965749,2.252399772,Restaurant
"19,4",48.88964758,2.25321605,Bistro d'Édouard,48.88956618,2.252402045,French Restaurant
"19,4",48.88964758,2.25321605,Place des Saisons,48.88934059,2.252132893,Plaza
"19,4",48.88964758,2.25321605,Dynasty 168,48.89026823,2.252025604,Chinese Restaurant
"0,5",48.89058304,2.22638995,Mayanne Evenementiel,48.8904719,2.22770034,Miscellaneous Store
"1,5",48.89058304,2.22780185,Mayanne Evenementiel,48.8904719,2.22770034,Miscellaneous Store
"2,5",48.89058304,2.22921375,Café Chassagne,48.89135666,2.230053611,Café
"3,5",48.89058304,2.23062565,Café Chassagne,48.89135666,2.230053611,Café
"6,5",48.89058304,2.23486135,UGC Ciné Cité la Défense,48.89113128,2.235508492,Movie Theater
"6,5",48.89058304,2.23486135,Brioche Dorée,48.89098168,2.235785408,Bakery
"6,5",48.89058304,2.23486135,Auchan,48.8912385,2.2350577,Grocery Store / Supermarket
"6,5",48.89058304,2.23486135,Pret à Manger,48.8905024,2.2362235,Bakery
"6,5",48.89058304,2.23486135,Pret à Manger,48.8905024,2.2362235,Fast Food Restaurant
"6,5",48.89058304,2.23486135,Pret à Manger,48.8905024,2.2362235,Sandwich Restaurant
"6,5",48.89058304,2.23486135,Le Ferney,48.8898544,2.23561228,French Restaurant
"7,5",48.89058304,2.23627325,Le Dôme de la Défense,48.89064453,2.236407101,Food Court
"7,5",48.89058304,2.23627325,Pret à Manger,48.8905024,2.2362235,Bakery
"7,5",48.89058304,2.23627325,Pret à Manger,48.8905024,2.2362235,Fast Food Restaurant
"7,5",48.89058304,2.23627325,Pret à Manger,48.8905024,2.2362235,Sandwich Restaurant
"7,5",48.89058304,2.23627325,So Cream,48.891044,2.236358,Frozen Yogurt Shop
"7,5",48.89058304,2.23627325,Brioche Dorée,48.89098168,2.235785408,Bakery
"7,5",48.89058304,2.23627325,Berko,48.89109759,2.236507515,Cupcake Shop
"7,5",48.89058304,2.23627325,Berko,48.89109759,2.236507515,Pastry Shop
"7,5",48.89058304,2.23627325,Berko,48.89109759,2.236507515,Restaurant
"7,5",48.89058304,2.23627325,Bretzel Love,48.89107702,2.23594802,Fast Food Restaurant
"7,5",48.89058304,2.23627325,Bretzel Love,48.89107702,2.23594802,German Restaurant
"7,5",48.89058304,2.23627325,UGC Ciné Cité la Défense,48.89113128,2.235508492,Movie Theater
"7,5",48.89058304,2.23627325,Westfield les 4 Temps,48.89063,2.237493,Retail
"7,5",48.89058304,2.23627325,Vapiano,48.89111698,2.236055526,Italian Restaurant
"7,5",48.89058304,2.23627325,Michael Kors,48.89127134,2.237004775,Clothing Store
"7,5",48.89058304,2.23627325,Franck Provost,48.89024354,2.237370014,Hair Salon
